agency_cd,site_no,datetime,105402_00060_00003,105402_00060_00003_cd
5s,15s,20d,14n,10s
USGS,1435000,7/21/2013,68.8,114.066481
USGS,1435000,7/22/2013,68.9,131.723831
USGS,1435000,7/23/2013,90.7,104.9906031
USGS,1435000,7/24/2013,70.5,96.1266134
USGS,1435000,7/25/2013,60.8,91.0766113
USGS,1435000,7/26/2013,57.5,90.6175202
USGS,1435000,7/27/2013,55,154.9609036
USGS,1435000,7/28/2013,76.6,110.9941021
USGS,1435000,7/29/2013,71.3,100.1171745
USGS,1435000,7/30/2013,56.8,91.9594788
USGS,1435000,7/31/2013,52.7,90.7940937
USGS,1435000,8/1/2013,75,90.4762614
USGS,1435000,8/2/2013,95.8,90.0171703
USGS,1435000,8/3/2013,63.7,89.4874498
USGS,1435000,8/4/2013,54,124.307744
USGS,1435000,8/5/2013,49.1,103.1895534
USGS,1435000,8/6/2013,45.8,94.2549343
USGS,1435000,8/7/2013,47.2,89.9112262
USGS,1435000,8/8/2013,71,89.6287086
USGS,1435000,8/9/2013,506,89.2049322
USGS,1435000,8/10/2013,278,88.6752117
USGS,1435000,8/11/2013,135,88.0748618
USGS,1435000,8/12/2013,102,87.4391972
USGS,1435000,8/13/2013,95.8,86.7329032
USGS,1435000,8/14/2013,89.9,86.4857003
USGS,1435000,8/15/2013,77.5,86.3797562
USGS,1435000,8/16/2013,71,90.5468908
USGS,1435000,8/17/2013,67.2,86.7682179
